dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
mmlu-pro,0.0,1e-05,0.025,0.25,1,300,287.4586486816406,0.1204148679971695,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.25,2,300,286.89471435546875,0.1204899027943611,0.9362855851784908
mmlu-pro,0.0,1e-05,0.025,0.25,3,300,287.2196044921875,0.120462492108345,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.25,4,300,287.2196044921875,0.1202797964215278,0.9493899683687302
mmlu-pro,0.0,1e-05,0.025,0.25,5,300,287.18707275390625,0.120359294116497,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.25,6,300,287.3700866699219,0.1205247342586517,0.9516493447808404
mmlu-pro,0.0,1e-05,0.025,0.25,7,300,287.23406982421875,0.1202939748764038,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.25,8,300,286.9335632324219,0.1203726604580879,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,0.25,9,300,286.9557189941406,0.1199761778116226,0.9521012200632626
mmlu-pro,0.0,1e-05,0.025,0.25,10,300,287.2191467285156,0.1204474568367004,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,0.25,11,300,287.2530517578125,0.1205915659666061,0.9507455942159964
mmlu-pro,0.0,1e-05,0.025,0.25,12,300,287.0948791503906,0.1202697455883026,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,0.25,13,300,287.0790710449219,0.1202816590666771,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,0.25,14,300,287.4261169433594,0.120011992752552,0.9430637144148216
mmlu-pro,0.0,1e-05,0.025,0.25,15,300,287.2191467285156,0.1205480024218559,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,0.25,16,300,286.93310546875,0.1204275339841842,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.25,17,300,286.82781982421875,0.1202264279127121,0.946226841391776
mmlu-pro,0.0,1e-05,0.025,0.25,18,300,286.7469482421875,0.1202176734805107,0.9588793492995934
mmlu-pro,0.0,1e-05,0.025,0.25,19,300,287.3863525390625,0.1205353140830993,0.9521012200632626
mmlu-pro,0.0,1e-05,0.025,0.25,20,300,287.13916015625,0.1202563792467117,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,0.25,21,300,287.1775817871094,0.1201391965150833,0.947582467239042
