dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,0.0,1e-05,0.1,97,0.0506167486310005,0.9493899683687302
mmlu-pro,0.0,1e-05,0.1,98,0.0506534837186336,0.945774966109354
mmlu-pro,0.0,1e-05,0.1,99,0.0506842620670795,0.9511974694984184
mmlu-pro,0.0,1e-05,0.125,66,0.0452991798520088,0.9530049706281066
mmlu-pro,0.0,1e-05,0.125,67,0.0453017354011535,0.947582467239042
mmlu-pro,0.0,1e-05,0.125,68,0.0453198365867137,0.956168097605061
mmlu-pro,0.0,1e-05,0.125,69,0.0452910549938678,0.956168097605061
mmlu-pro,0.0,1e-05,0.125,70,0.0452982485294342,0.9453230908269318
mmlu-pro,0.0,1e-05,0.125,71,0.0452909134328365,0.9507455942159964
mmlu-pro,0.0,1e-05,0.125,72,0.04531005397439,0.9417080885675554
mmlu-pro,0.0,1e-05,0.125,73,0.0453434847295284,0.9548124717577948
mmlu-pro,0.0,1e-05,0.125,74,0.0453158132731914,0.9498418436511524
mmlu-pro,0.0,1e-05,0.125,75,0.0452802591025829,0.9516493447808404
mmlu-pro,0.0,1e-05,0.125,76,0.0453252382576465,0.9484862178038862
mmlu-pro,0.0,1e-05,0.125,77,0.0452966503798961,0.947582467239042
mmlu-pro,0.0,1e-05,0.125,78,0.0452998876571655,0.946678716674198
