dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,85,239,239.26084899902344,0.1238573566079139,0.9489150090415912,1.6541993794616905
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,86,239,239.22650146484375,0.1238155961036682,0.9430379746835442,1.6501301595165918
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,87,239,238.9095916748047,0.123818814754486,0.9462025316455696,1.6534235806449191
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,88,239,239.0723419189453,0.1238306909799575,0.9529837251356238,1.649964679455612
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,89,239,238.4778594970703,0.1236038357019424,0.9529837251356238,1.6517529263463746
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,90,239,238.8802032470703,0.1238270103931427,0.9529837251356238,1.651687499333395
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,91,239,238.81103515625,0.1238216385245323,0.95750452079566,1.6510185883529922
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,92,239,238.59088134765625,0.1237257122993469,0.9498191681735986,1.6528484706643511
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,93,239,238.81690979003903,0.1237531974911689,0.9471066907775768,1.652249638211111
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,94,239,239.30426025390625,0.1238831058144569,0.9602169981916816,1.65390561582974
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,95,239,238.90643310546875,0.1237737238407135,0.9602169981916816,1.653058880564337
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,96,239,238.50271606445312,0.123601533472538,0.9489150090415912,1.6474732835799124
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,97,239,239.09222412109375,0.123746819794178,0.9484629294755876,1.6524883691960068
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,98,239,239.02713012695312,0.1238471195101738,0.9525316455696202,1.6510846921672373
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,99,239,238.2744140625,0.1236055344343185,0.9529837251356238,1.6534937863426429
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,0,478,478.0113220214844,0.0864506289362907,0.9570524412296564,1.6544889458827592
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,1,478,478.436279296875,0.0865093246102333,0.9579566003616636,1.6537059984969638
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,2,478,478.3015441894531,0.0864455476403236,0.9529837251356238,1.6515640008301418
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,3,478,478.375244140625,0.0864826813340187,0.9462025316455696,1.6542282049980597
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,4,478,477.679931640625,0.0864409580826759,0.945750452079566,1.6556039190467307
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,5,478,478.0081481933594,0.0864245072007179,0.948010849909584,1.652800253397829
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,6,478,477.9588623046875,0.0864191353321075,0.9507233273056056,1.6519630696773067
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,7,478,478.548828125,0.0865121632814407,0.9507233273056056,1.6531148805452613
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,8,478,478.11077880859375,0.0864353999495506,0.950271247739602,1.6532092917783465
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,9,478,477.4755859375,0.086369477212429,0.9493670886075948,1.6516686985821236
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,10,478,477.6614074707031,0.0864306986331939,0.953887884267631,1.6551129876542336
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,11,478,478.4977416992187,0.086499199271202,0.950271247739602,1.6514891202651643
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,12,478,478.3196411132813,0.0864596217870712,0.9498191681735986,1.6535904567496862
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,13,478,477.9692687988281,0.0864251926541328,0.9511754068716094,1.6562579204634151
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,14,478,477.4114074707031,0.0863674059510231,0.9534358047016276,1.6525311951549222
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,15,478,478.1026306152344,0.0864487588405609,0.9507233273056056,1.6519747447252204
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,16,478,477.40869140625,0.0863679051399231,0.9525316455696202,1.655165309897637
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,17,478,477.7391662597656,0.0864230543375015,0.9556962025316456,1.6529221046731088
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,18,478,477.4127502441406,0.0864197835326194,0.9471066907775768,1.6520267148554488
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,19,478,478.5049743652344,0.086480475962162,0.9344484629294756,1.6496299410843807
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,20,478,477.9475708007813,0.0864454731345176,0.9452983725135624,1.6552398053046389
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,21,478,478.1437683105469,0.086463987827301,0.9543399638336348,1.6538968425540113
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,22,478,478.0135803222656,0.0864437147974968,0.9543399638336348,1.6534369426088955
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,23,478,478.0872497558594,0.0864415913820266,0.9507233273056056,1.6529223877946868
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,24,478,478.137451171875,0.0864714905619621,0.9471066907775768,1.6562155286204874
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,25,478,477.5940551757813,0.08639457821846,0.9466546112115732,1.653284636764334
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,26,478,477.7396240234375,0.0863988772034645,0.951627486437613,1.6538588472756643
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,27,478,477.37115478515625,0.0863664448261261,0.9493670886075948,1.653266264798274
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,unif,,mean,28,478,477.9778747558594,0.0864408910274505,0.950271247739602,1.6535545020981863
