dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.25,49.5,1.7126354548850324,0.00010415544280187986,0.9495840867992765,0.0004722901213965958,0.033739796951413104,1.1150999492335207e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.025,49.5,1.9483624854960135,0.00042792275407348244,0.9505153707052441,0.0004312525905925682,0.11400408253073686,1.3276217752499242e-05
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.05,49.5,2.0320707683672414,0.00027806372922691556,0.9495750452079565,0.00042415734223760526,0.07796216607093806,5.611195168950453e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.075,49.5,2.084398562989219,0.0002561924132016195,0.9491320072332731,0.00045732251205244246,0.061988062299787955,4.454491856613869e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.1,49.5,2.1214609400686384,0.00023586594811433615,0.9496066907775769,0.0004778512312465473,0.05250254970043893,3.3817591927226654e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.125,49.5,2.150077982561948,0.0001914559004429665,0.949005424954792,0.0004957283304465379,0.04600202403962607,2.5000231373622503e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.15,49.5,2.173058329940374,0.00017784140641458805,0.9496383363471971,0.0005227278742761178,0.04115918636322017,1.9984679600569234e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.175,49.5,2.1919931845667078,0.00016729251991411898,0.9498688969258589,0.0004467924249485247,0.03738464191555972,1.8354881737542515e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.2,49.5,2.207868571416442,0.00015292746854231226,0.9496564195298371,0.0005231037114641652,0.034315342344343615,1.4715192605796518e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.225,49.5,2.221853487466421,0.00014772718795488338,0.9499276672694394,0.0004685441380800772,0.03173730820417399,1.2875471686125738e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.25,49.5,2.2338265503379904,0.00015826326453794072,0.9498779385171789,0.00047001936627330077,0.029542703051119994,1.1539061381763672e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.025,49.5,2.597477401332643,0.0013262442922705175,0.9455244122965641,0.0004812968964836818,0.0987376824021339,2.6451112364816336e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,49.5,3.191392976360898,0.0010297116970796028,0.947120253164557,0.0004488925877596051,0.06221062287688251,1.0173793613193625e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,49.5,3.667732160496898,0.0012716427736190927,0.9473960216998191,0.0004692661650234083,0.04673060256987805,8.589718146838057e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,49.5,4.029070085896326,0.0012992966273133969,0.9487974683544302,0.000473910748553783,0.038097547292709304,6.458420564679432e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,49.5,4.319295465837253,0.00122332040885087,0.9483634719710669,0.00041995866851640424,0.03245628353208299,4.878220273152203e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,49.5,4.559433612247778,0.0013063441494474061,0.9485488245931283,0.00043937502278744406,0.02841504098847503,4.3441840032788165e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,49.5,4.763281693792726,0.0012039020513142935,0.9486618444846293,0.00048653643544140074,0.025360664743930058,3.3220894538259402e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,49.5,4.951523070037533,0.001151207741231471,0.9485804701627487,0.000520377502490835,0.022914286740124173,2.763008413903666e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,49.5,5.132269281811171,0.0011465333586536735,0.9483544303797469,0.00047744777211122054,0.0208820834383368,2.436854780243775e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,49.5,5.315412494790846,0.0010848882922095814,0.9484493670886076,0.00044436283005335777,0.01915168918669219,2.093913165624886e-06
mmlu-pro,0.0,1e-05,0.025,49.5,1.2256638849115151,0.00021732985274661108,0.9503117939448713,0.0004452040098015896,0.11444569051265713,1.084474451808256e-05
mmlu-pro,0.0,1e-05,0.05,49.5,1.2396048399844661,0.0001563558121647948,0.9504157252598283,0.00043607342328409206,0.0794048129767179,4.598804096578331e-06
mmlu-pro,0.0,1e-05,0.075,49.5,1.2469929061318081,0.00013680388154568482,0.9499322187076368,0.00048259900649539505,0.06378282256424422,3.45691088109301e-06
mmlu-pro,0.0,1e-05,0.1,49.5,1.2515219390645644,0.00012755032128201964,0.9494170808856756,0.0004922812208314382,0.05438545640558,2.5228051421310987e-06
mmlu-pro,0.0,1e-05,0.125,49.5,1.2544943567832418,0.00011855315512391965,0.9497017623136014,0.000484547990017881,0.04790408149361606,1.9336528006086123e-06
mmlu-pro,0.0,1e-05,0.15,49.5,1.2569235713557771,0.00010177423547368641,0.9500497062810664,0.0004650309867383579,0.04307233106344934,1.6551807415150585e-06
mmlu-pro,0.0,1e-05,0.175,49.5,1.2586556093569232,9.712366592453447e-05,0.9491007681879802,0.0004735616026352053,0.039256716445088345,1.4261435276365372e-06
mmlu-pro,0.0,1e-05,0.2,49.5,1.2600875089568877,8.805686551852275e-05,0.9496475372797109,0.0005062215435835769,0.03613877110183234,1.252745438134289e-06
mmlu-pro,0.0,1e-05,0.225,49.5,1.2612432019407307,8.446052979615884e-05,0.9495255309534569,0.00047360428338115597,0.03351908829063172,1.0185212972706617e-06
mmlu-pro,0.0,1e-05,0.25,49.5,1.2619304600538621,7.940897133294605e-05,0.9493176683235427,0.0004576678032808511,0.031272546220570754,9.027484279365657e-07
mmlu-pro,0.0,0.0001,0.025,49.5,1.225680057092174,0.00021729879631282063,0.950325350203344,0.00044475602495154965,0.11444493547081944,1.0846044264979534e-05
